iter	Passed	Remaining
0	810	404663
1	1214	302454
2	1838	304635
3	2397	297334
4	2976	294702
5	3680	303028
6	4206	296257
7	4677	287655
8	5279	288033
9	5914	289819
10	6877	305726
11	7830	318446
12	8825	330628
13	9874	342791
14	10778	348518
15	11406	345058
16	11980	340379
17	12553	336143
18	13333	337552
19	14079	337918
20	14727	335916
21	15304	332521
22	16077	333436
23	16815	333511
24	17023	323441
25	17700	322698
26	18435	322970
27	19180	323323
28	19982	324548
29	20753	325145
30	21453	324573
31	21822	319146
32	22837	323185
33	23272	318973
34	23786	316024
35	24205	311987
36	25001	312852
37	25689	312331
38	26255	310348
39	26875	309072
40	27921	312579
41	28936	315550
42	29268	311057
43	30185	312830
44	30644	309851
45	31468	310578
46	32449	312759
47	33055	311272
48	33982	312774
49	34526	310739
50	35045	308536
51	35391	304911
52	36096	304440
53	36738	303430
54	37457	303063
55	38039	301598
56	38589	299916
57	39503	301042
58	40428	302184
59	41168	301900
60	42277	304259
61	43005	303813
62	43713	303220
63	44351	302143
64	45023	301312
65	46054	302844
66	47084	304293
67	48045	305233
68	48785	304733
69	49235	302447
70	50130	302899
71	50510	300258
72	51468	301058
73	52489	302170
74	52963	300126
75	53401	297926
76	54325	298435
77	54622	295524
78	54986	293030
79	55551	291646
80	56154	290480
81	56772	289399
82	57451	288639
83	57692	285717
84	58238	284341
85	58648	282330
86	58991	280041
87	59548	278793
88	59809	276199
89	60383	275079
90	61022	274263
91	61262	271684
92	61896	270878
93	62318	269163
94	62841	267902
95	63535	267380
96	64149	266519
97	64553	264801
98	64767	262339
99	65008	260035
100	65594	259132
101	66203	258324
102	66755	257300
103	67180	255801
104	67463	253793
105	67735	251772
106	68169	250380
107	68523	248714
108	69127	247970
109	69711	247157
110	69984	245261
111	70239	243330
112	70578	241716
113	70997	240395
114	71635	239822
115	72330	239439
116	73158	239485
117	73878	239165
118	74590	238815
119	74825	236948
120	75362	236053
121	75606	234256
122	75805	232347
123	76029	230539
124	76726	230178
125	77315	229490
126	77959	228967
127	78672	228643
128	78883	226866
129	79526	226344
130	79739	224610
131	80350	224006
132	80619	222460
133	80995	221225
134	81696	220882
135	81989	219442
136	82253	217942
137	82556	216561
138	83068	215739
139	83711	215258
140	83928	213689
141	84501	213038
142	84984	212164
143	85561	211528
144	86192	211022
145	86781	210415
146	87392	209859
147	87541	208206
148	87881	207022
149	88547	206610
150	89201	206168
151	89810	205619
152	89962	204032
153	90196	202648
154	90807	202119
155	91027	200727
156	91659	200250
157	92361	199921
158	92637	198675
159	93374	198421
160	93529	196934
161	94051	196230
162	94268	194897
163	94493	193596
164	95085	193052
165	95702	192557
166	96258	191941
167	96939	191570
168	97592	191142
169	98308	190834
170	98957	190391
171	99612	189959
172	100246	189484
173	100588	188458
174	101228	187996
175	101745	187303
176	101899	185951
177	102477	185381
178	102795	184343
179	103405	183832
180	104105	183478
181	104706	182949
182	105349	182490
183	105784	181673
184	106161	180761
185	106806	180306
186	107091	179249
187	107677	178698
188	108146	177954
189	108795	177509
190	109379	176954
191	109650	175897
192	110219	175323
193	110855	174855
194	111491	174384
195	111710	173264
196	111929	172155
197	112573	171703
198	113198	171220
199	113731	170597
200	113951	169509
201	114571	169020
202	115053	168329
203	115338	167353
204	115621	166381
205	116267	165935
206	116994	165600
207	117506	164960
208	117988	164280
209	118338	163419
210	118943	162913
211	119575	162442
212	119729	161325
